School_ID,School,Carnegie Classification 2018,Religious Affiliation,12-Month FTE Enrollment,Academic Support Expenses Per FTE (FASB),Core Expenses (FASB),Endowment Asset Value,Institutional Support Expenses Per FTE (FASB),Instruction Expenses Per FTE (FASB),Student Services Expenses Per FTE (FASB)
181330,Midland University,20,39,1440.0,484.0,29245684.0,24331466.0,4865.0,7592.0,7369.0
181446,Nebraska Wesleyan University,19,71,2043.0,2484.0,39648000.0,70406000.0,3033.0,8040.0,5847.0
181738,Union Adventist University,22,95,652.0,3578.0,20588748.0,29971816.0,8632.0,12903.0,6034.0
181853,York University,22,74,542.0,1268.0,11259520.0,22627370.0,7366.0,5625.0,6516.0
182634,Colby-Sawyer College,22,-2,923.0,4426.0,30001748.0,65763908.0,7793.0,10786.0,9203.0
182795,Franklin Pierce University,19,-2,1740.0,2880.0,42068386.0,20875701.0,3923.0,9678.0,7665.0
183239,Saint Anselm College,21,30,2144.0,2937.0,68328617.0,200158610.0,6733.0,13841.0,7534.0
183822,Bloomfield College,21,66,1123.0,2696.0,36559163.0,15488770.0,8898.0,11240.0,5318.0
183974,Centenary University,19,71,1231.0,2452.0,29766751.0,15536589.0,4886.0,10738.0,6095.0
184348,Drew University,21,71,2169.0,4560.0,75788000.0,128610000.0,10619.0,12018.0,7745.0
184603,Fairleigh Dickinson University-Metropolitan Campus,18,-2,4096.0,4330.0,100415000.0,96344000.0,4523.0,9933.0,5679.0
184612,Felician University,19,30,1990.0,2229.0,53444295.0,6224407.0,2348.0,10003.0,7885.0
184773,Georgian Court University,19,30,1545.0,5064.0,48062864.0,51743669.0,8200.0,9921.0,7924.0
186283,Rider University,18,-2,3708.0,3748.0,120887000.0,73183000.0,7249.0,13922.0,7415.0
186432,Saint Peter's University,18,30,3303.0,3240.0,76135975.0,39220636.0,7151.0,6827.0,5833.0
188535,Albany Law School,31,-2,635.0,6440.0,25576101.0,75548953.0,9556.0,18922.0,5359.0
188641,Alfred University,18,-2,1859.0,4818.0,69417558.0,176525647.0,7571.0,15380.0,6631.0
189705,Canisius University,18,30,2377.0,3225.0,67744604.0,142787396.0,7736.0,9285.0,7894.0
190044,Clarkson University,16,-2,3354.0,4279.0,122838403.0,218427219.0,5506.0,16572.0,5957.0
190716,D'Youville  University,17,-2,2289.0,5281.0,70817912.0,51712746.0,4519.0,13542.0,5871.0
190761,Dominican University New York,20,-2,1400.0,1601.0,33907656.0,8453474.0,6074.0,10629.0,5915.0
191533,Hartwick College,21,-2,1120.0,1423.0,46276376.0,50211828.0,13146.0,15073.0,11035.0
191676,Houghton University,21,89,785.0,2144.0,25422970.0,69416105.0,6618.0,12006.0,11477.0
191931,Iona University,18,30,3331.0,3080.0,97625000.0,207953000.0,5890.0,11246.0,8977.0
192192,Keuka College,19,-2,1128.0,1122.0,30241615.0,17623100.0,10489.0,8374.0,6825.0
192749,Manhattanville College,18,-2,2063.0,3161.0,56915218.0,30173776.0,7002.0,10741.0,6684.0
192864,Marymount Manhattan College,21,-2,1491.0,3267.0,47214059.0,27478527.0,8124.0,13815.0,6460.0
193353,Mount Saint Mary College,19,30,1513.0,3398.0,41814207.0,9730647.0,6858.0,10462.0,6901.0
193584,Nazareth University,18,-2,2430.0,3074.0,71023867.0,84424711.0,4848.0,13967.0,6635.0
193751,Northeast College of Health Sciences,26,-2,541.0,5130.0,20548641.0,62321333.0,10603.0,15668.0,6257.0
